	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	V22	OVERDUEDAYS	TRESHOLD
63270	100005966	8/14/2017	8	1	1	 	Employee 60	Team 7	85,9322368421053	 	83,1358552631579	 	 	 	ok	 	ok	ok	 	,15
63274	100005966	9/4/2017	9	1	1	 	Employee 60	Team 7	80,3394736842105	 	82,6934210526316	 	 	 	ok	 	ok	ok	 	,15
63281	100005966	10/16/2017	10	1	1	 	Employee 60	Team 7	86,6864035087719	 	87,1725146198831	 	 	 	ok	 	ok	ok	 	,15
63286	100005966	11/13/2017	11	1	1	 	Employee 60	Team 7	76,0072368421053	 	79,4405701754386	 	 	 	ok	 	ok	ok	 	,15
63290	100005966	12/4/2017	12	1	1	 	Employee 60	Team 7	82,1258771929825	 	82,9501644736843	 	overdue	 	 	 	overdue	ok	9	,15
63380	100005977	11/8/2017	11	1	1	 	Employee 58	Team 7	90,3583333333333	 	90,6916666666667	 	 	 	ok	 	ok	ok	 	,15
63418	100005978	11/8/2017	11	1	1	 	Employee 58	Team 7	29,1416666666667	 	33,7641666666667	 	 	 	ok	 	ok	ok	 	,15
63457	100005979	11/8/2017	11	1	1	 	Employee 58	Team 7	58,742380952381	 	63,7817460317461	 	 	 	ok	 	ok	ok	 	,15
63512	100005988	6/21/2017	6	1	1	 	Employee 59	Team 7	87,5942307692308	 	85,3411057692308	 	 	 	ok	 	ok	ok	 	,15
63534	100005988	11/17/2017	11	1	1	 	Employee 59	Team 7	80,725	 	85,525	 	 	 	ok	 	ok	ok	 	,15
63548	100005992	6/20/2017	6	1	1	 	Employee 59	Team 7	71,75	 	69,4928571428571	 	 	 	ok	 	ok	ok	 	,15
63563	100005992	9/19/2017	9	1	1	 	Employee 59	Team 7	72,4615079365079	 	70,5646825396825	 	 	 	ok	 	ok	ok	 	,15
63568	100005992	10/17/2017	10	1	1	 	Employee 59	Team 7	64,4380952380952	 	71,6001322751323	 	 	 	ok	 	ok	ok	 	,15
63677	100006003	6/20/2017	6	1	1	 	Employee 59	Team 7	43,9144230769231	 	48,8456730769231	 	 	 	ok	 	ok	ok	 	,15
63695	100006003	10/17/2017	10	1	1	 	Employee 59	Team 7	29,3766666666667	 	37,31	 	 	 	ok	 	ok	ok	 	,15
63751	100006012	8/11/2017	8	1	1	 	Employee 64	Team 12	77,00975	 	77,00975	 	 	 	ok	 	ok	ok	 	,15
63762	100006012	11/9/2017	11	1	1	 	Employee 64	Team 12	77,45275	 	78,78175	 	 	 	ok	 	ok	ok	 	,15
63781	100006023	11/7/2017	11	1	1	 	Employee 65	Team 12	72,6362424242424	 	72,6362424242424	 	 	 	ok	 	ok	ok	 	,15
63793	100006024	6/20/2017	6	1	1	 	Employee 63	Team 12	76,7942307692308	 	74,9192307692308	 	 	 	ok	 	ok	ok	 	,15
63802	100006024	8/9/2017	8	1	1	 	Employee 63	Team 12	77,3291666666667	 	77,3291666666667	 	 	 	ok	 	ok	ok	 	,15
63812	100006024	10/18/2017	10	1	1	 	Employee 63	Team 12	73,4	 	73,4	 	 	 	ok	 	ok	ok	 	,15
63816	100006024	11/8/2017	11	1	1	 	Employee 63	Team 12	81,6	 	81,6	 	 	 	ok	 	ok	ok	 	,15
63834	100006027	8/9/2017	8	1	1	 	Employee 64	Team 12	54,7653846153846	 	54,7653846153846	 	 	 	ok	 	ok	ok	 	,15
63863	100006029	5/10/2017	5	1	1	 	Employee 64	Team 12	87,25	 	86,1875	 	overdue	 	 	 	overdue	ok	8	,15
63875	100006029	7/26/2017	7	1	1	 	Employee 64	Team 12	88,95	 	91,126	 	 	 	ok	 	ok	ok	 	,15
63878	100006029	8/9/2017	8	1	1	 	Employee 64	Team 12	91,347	 	91,6303333333333	 	 	 	ok	 	ok	ok	 	,15
63887	100006029	10/13/2017	10	1	1	 	Employee 64	Team 12	98,5833333333333	 	98,1111111111111	 	 	 	 	 	 	ok	 	,15
63952	100006055	5/15/2017	5	1	1	 	Employee 63	Team 12	69,3875	 	72,1416666666667	 	 	 	ok	 	ok	ok	 	,15
63961	100006055	7/10/2017	7	1	1	 	Employee 63	Team 12	88,9	 	89,65	 	overdue	 	 	 	overdue	ok	9	,15
63971	100006055	9/11/2017	9	1	1	 	Employee 63	Team 12	90,4	 	90,4	 	overdue	 	 	 	overdue	ok	8	,15
63978	100006055	10/16/2017	10	1	1	 	Employee 63	Team 12	90,4	 	90,4	 	 	 	ok	 	ok	ok	 	,15
63982	100006055	11/6/2017	11	1	1	 	Employee 63	Team 12	90,4	 	89,7333333333333	 	 	 	ok	 	ok	ok	 	,15
64009	100006075	5/11/2017	5	1	1	 	Employee 63	Team 12	55,7451923076923	 	59,7355769230769	 	 	 	ok	 	ok	ok	 	,15
64024	100006075	8/10/2017	8	1	1	 	Employee 63	Team 12	75,0666666666667	 	71,0916666666667	 	 	 	ok	 	ok	ok	 	,15
64030	100006075	9/14/2017	9	1	1	 	Employee 63	Team 12	67,4	 	70,1333333333333	 	 	 	ok	 	ok	ok	 	,15
64067	100006080	6/14/2017	6	1	1	 	Employee 64	Team 12	75,7357142857143	 	76,4357142857143	 	 	 	ok	 	ok	ok	 	,15
64076	100006080	8/4/2017	8	1	1	 	Employee 64	Team 12	79,7857142857143	 	79,7857142857143	 	overdue	 	 	 	overdue	ok	9	,15
64101	100006088	11/15/2017	11	1	1	 	Employee 63	Team 12	47,5517	 	47,5517	 	 	 	ok	 	ok	ok	 	,15
64104	100006088	12/13/2017	12	1	1	 	Employee 63	Team 12	51,2650333333333	 	51,2650333333333	 	 	 	ok	 	ok	ok	 	,15
64159	100006103	7/26/2017	7	1	1	 	Employee 64	Team 12	79,7107142857143	 	79,7107142857143	 	 	 	ok	 	ok	ok	 	,15
64193	100006104	7/19/2017	7	1	1	 	Employee 64	Team 12	69,3708333333333	 	71,2208333333333	 	 	 	ok	 	ok	ok	 	,15
64211	100006104	11/14/2017	11	1	1	 	Employee 64	Team 12	66,3958333333334	 	67,9260416666667	 	 	 	ok	 	ok	ok	 	,15
64215	100006104	12/5/2017	12	1	1	 	Employee 64	Team 12	72,8125	 	72,5458333333333	 	 	 	ok	 	ok	ok	 	,15
64242	100006120	8/4/2017	8	1	1	 	Employee 64	Team 12	56,8978761904762	 	56,8978761904762	 	overdue	 	 	 	overdue	ok	9	,15
64260	100006130	6/16/2017	6	1	1	 	Employee 64	Team 12	40,2086666666667	 	40,2086666666667	 	 	 	ok	 	ok	ok	 	,15
64280	100006133	8/14/2017	8	1	1	 	Employee 67	Team 12	59,8267333333333	 	59,8267333333333	 	 	 	ok	 	ok	ok	 	,15
64434	100006179	7/18/2017	7	1	1	 	Employee 17	Team 8	81,8458333333333	 	83,0097222222222	 	 	 	ok	 	ok	ok	 	,15
64452	100006179	11/14/2017	11	1	1	 	Employee 17	Team 8	83,4166666666667	 	83,8854166666667	 	 	 	ok	 	ok	ok	 	,15
64474	100006180	7/18/2017	7	1	1	 	Employee 17	Team 8	43,7491666666667	 	48,0580555555555	 	 	 	ok	 	ok	ok	 	,15
64502	100006197	7/12/2017	7	1	1	 	Employee 5	Team 8	19,8308484848485	 	19,8308484848485	 	 	 	ok	 	ok	ok	 	,15
64508	100006197	9/20/2017	9	1	1	 	Employee 5	Team 8	19,8308484848485	 	19,8308484848485	 	 	 	ok	 	ok	ok	 	,15
64520	100006206	6/21/2017	6	1	1	 	Employee 5	Team 8	30,4644848484849	 	30,4644848484849	 	 	 	ok	 	ok	ok	 	,15
64573	100006209	5/11/2017	5	1	1	 	Employee 14	Team 8	61,5669523809524	 	61,5669523809524	 	 	 	ok	 	ok	ok	 	,15
64606	100006214	7/18/2017	7	1	1	 	Employee 17	Team 8	53,5408333333333	 	58,6705555555556	 	 	 	ok	 	ok	ok	 	,15
64611	100006214	8/15/2017	8	1	1	 	Employee 17	Team 8	65,1283333333333	 	66,5272916666667	 	 	 	ok	 	ok	ok	 	,15
64617	100006214	9/19/2017	9	1	1	 	Employee 17	Team 8	56,9191666666667	 	57,6435	 	 	 	ok	 	ok	ok	 	,15
64626	100006214	11/14/2017	11	1	1	 	Employee 17	Team 8	59,5575	 	58,561875	 	 	 	ok	 	ok	ok	 	,15
64630	100006214	12/5/2017	12	1	1	 	Employee 17	Team 8	59,5575	 	59,5575	 	 	 	ok	 	ok	ok	 	,15
