SAPECCSalesGroup	TERRID	CustomerID	month	Visits
Team 1	Employee 42	100023570	7	0
Team 1	Employee 42	100023570	8	0
Team 1	Employee 42	100023570	9	0
Team 1	Employee 42	100023570	10	0
Team 1	Employee 42	100023570	11	0
Team 1	Employee 42	100023570	12	1
Team 1	Employee 42	100024266	12	0
Team 1	Employee 43	100000141	5	0
Team 1	Employee 43	100000141	6	0
Team 1	Employee 43	100000141	7	0
Team 1	Employee 43	100000141	8	0
Team 1	Employee 43	100000141	9	0
Team 1	Employee 43	100000144	5	0
Team 1	Employee 43	100000144	6	1
Team 1	Employee 43	100000144	7	0
Team 1	Employee 43	100000144	8	1
Team 1	Employee 43	100000144	9	0
Team 1	Employee 43	100000144	10	1
Team 1	Employee 43	100000144	11	0
Team 1	Employee 43	100000144	12	0
Team 1	Employee 43	100000145	5	0
Team 1	Employee 43	100000145	6	0
Team 1	Employee 43	100000145	7	0
Team 1	Employee 43	100000145	8	0
Team 1	Employee 43	100000145	9	0
Team 1	Employee 43	100000145	10	1
Team 1	Employee 43	100000145	11	0
Team 1	Employee 43	100000145	12	0
Team 1	Employee 43	100000200	5	0
Team 1	Employee 43	100000200	6	1
Team 1	Employee 43	100000200	7	0
Team 1	Employee 43	100000200	8	1
Team 1	Employee 43	100000200	9	0
Team 1	Employee 43	100000200	10	1
Team 1	Employee 43	100000200	11	0
Team 1	Employee 43	100000200	12	1
Team 1	Employee 43	100000225	5	1
Team 1	Employee 43	100000225	6	0
Team 1	Employee 43	100000225	7	1
Team 1	Employee 43	100000225	8	0
Team 1	Employee 43	100000225	9	1
Team 1	Employee 43	100000225	10	0
Team 1	Employee 43	100000225	11	0
Team 1	Employee 43	100000225	12	1
Team 1	Employee 43	100000833	5	0
Team 1	Employee 43	100000833	6	1
Team 1	Employee 43	100000833	7	0
Team 1	Employee 43	100000833	8	1
Team 1	Employee 43	100000833	9	0
Team 1	Employee 43	100000833	10	1
Team 1	Employee 43	100000833	11	0
Team 1	Employee 43	100000833	12	1
Team 1	Employee 43	100000842	5	0
Team 1	Employee 43	100000842	6	1
Team 1	Employee 43	100000842	7	1
Team 1	Employee 43	100000842	8	0
Team 1	Employee 43	100000842	9	0
Team 1	Employee 43	100000842	10	0
Team 1	Employee 43	100000842	11	1
Team 1	Employee 43	100000842	12	0
Team 1	Employee 43	100000852	5	0
Team 1	Employee 43	100000852	6	1
Team 1	Employee 43	100000852	7	0
Team 1	Employee 43	100000852	8	0
Team 1	Employee 43	100000852	9	0
Team 1	Employee 43	100000852	10	1
Team 1	Employee 43	100000852	11	0
Team 1	Employee 43	100000852	12	0
Team 1	Employee 43	100000853	5	1
Team 1	Employee 43	100000853	6	0
Team 1	Employee 43	100000853	7	1
Team 1	Employee 43	100000853	8	0
Team 1	Employee 43	100000853	9	0
Team 1	Employee 43	100000853	10	0
Team 1	Employee 43	100000853	11	0
Team 1	Employee 43	100000853	12	0
Team 1	Employee 43	100000855	5	1
Team 1	Employee 43	100000855	6	0
Team 1	Employee 43	100000855	7	1
Team 1	Employee 43	100000855	8	1
Team 1	Employee 43	100000855	9	0
Team 1	Employee 43	100000855	10	0
Team 1	Employee 43	100000855	11	0
Team 1	Employee 43	100000855	12	1
Team 1	Employee 43	100000887	5	0
Team 1	Employee 43	100000887	6	1
Team 1	Employee 43	100000887	7	0
Team 1	Employee 43	100000887	8	1
Team 1	Employee 43	100000887	9	0
Team 1	Employee 43	100000887	10	0
Team 1	Employee 43	100000887	11	0
Team 1	Employee 43	100000887	12	0
Team 1	Employee 43	100000889	5	1
Team 1	Employee 43	100000889	6	0
Team 1	Employee 43	100000889	7	0
Team 1	Employee 43	100000889	8	0
Team 1	Employee 43	100000889	9	0
Team 1	Employee 43	100000889	10	1
Team 1	Employee 43	100000889	11	0
